,0
960,RTCA
961,KIAA1217
962,WNT16
963,TWF1
964,ARMC10
965,PCGF5
966,DRAP1
967,S100G
968,TMPRSS4
969,PZP
970,COL26A1
971,SEPT8
972,LRFN4
973,COL8A2
974,SLK
975,PTPRM
976,PTAFR
977,EMD
978,MRPS16
979,FABP7
980,DNMT1
981,GOLGA2
982,TBX1
983,P2RX2
984,ZNF652
985,SUPT16H
986,KATNA1
987,F11R
988,NRP2
989,LGALS7B
990,CDC42EP3
991,GJA5
992,LRRN1
993,TJP2
994,ABCG2
995,BRAP
996,SLC7A1
997,DLGAP5
998,EYA4
999,NUP210
1000,TYSND1
1001,ALDH5A1
1002,FGF20
1003,HEYL
1004,MTX3
1005,SCFD1
1006,ADAM9
1007,CCND3
1008,FECH
1009,SIRT1
1010,FUT4
1011,KLRC2
1012,RCC1
1013,CBX4
1014,SOS2
1015,ATP6V0D1
1016,PON3
1017,SECTM1
1018,MAD1L1
1019,NDUFA5
1020,ODF2L
1021,SEC61B
1022,LANCL2
1023,S100A8
1024,NDUFB2
1025,NT5C3A
1026,CKAP2
1027,SLC44A2
1028,LPIN2
1029,CDCA8
1030,LPAR2
1031,FADD
1032,PTPN18
1033,GOLPH3L
1034,TEKT2
1035,CPSF3
1036,ESYT1
1037,PARD3
1038,MRPL37
1039,PPP3R1
1040,PIK3R3
1041,IGKV3-20
1042,TCF7L1
1043,WDR45B
1044,GTF2H1
1045,VCAM1
1046,EZH1
1047,RAB3GAP2
1048,GPC6
1049,TCTA
1050,CD24
1051,CTSC
1052,GP2
1053,TBCEL
1054,BMP2
1055,CASS4
1056,GPHN
1057,WTAP
1058,HOXA1
1059,DNAAF2
1060,MTIF2
1061,MPP5
1062,ATMIN
1063,BLOC1S3
1064,SMOC1
1065,MBTPS1
1066,DDT
1067,NPAS2
1068,PAF1
1069,NEIL2
1070,CXCL1
1071,REG1A
1072,CUL1
1073,TMCC3
1074,SPCS1
1075,NKTR
1076,TSHZ1
1077,DERL1
1078,SIRT2
1079,TOR1A
1080,GINM1
1081,ITIH5
1082,SNRNP48
1083,VDR
1084,LGI3
1085,GORASP2
1086,PHC2
1087,RELB
1088,USP4
1089,RACGAP1
1090,CLDN1
1091,NAT14
1092,LPCAT1
1093,F2RL3
1094,SEMA3C
1095,CD207
1096,HLA-DRA
1097,MYOC
1098,GPCPD1
1099,ITIH2
1100,NARS2
1101,PPIC
1102,EFHD1
1103,CACNG1
1104,PSG8
1105,ELP4
1106,FOLR1
1107,BET1
1108,MSH6
1109,PRRX2
1110,DTX1
1111,OPA3
1112,ENTPD3
1113,MIDN
1114,GEMIN2
1115,TNFRSF13C
1116,TTK
1117,RPL14
1118,CDCA7
1119,LRPAP1
1120,ZNF114
1121,CHMP6
1122,VMP1
1123,ZKSCAN8
1124,DNAL4
1125,SCD
1126,PDZD4
1127,NEFM
1128,ACVR2B
1129,TRAPPC2L
1130,MEA1
1131,LMNB1
1132,PTX3
1133,CD200
1134,FTCD
1135,MMP15
1136,SLC25A28
1137,SNAPC5
1138,QKI
1139,UBE4A
1140,TRIM16
1141,VASP
1142,PRKX
1143,BRINP1
1144,POLR2G
1145,PSPH
1146,CENPQ
1147,AMBRA1
1148,USP25
1149,BEND5
1150,MCIDAS
1151,PRCC
1152,NUCB1
1153,ZNF131
1154,EXOC2
1155,PTPN21
1156,MAT1A
1157,RPL34
1158,CLEC2A
1159,CADPS2
1160,WNT3A
1161,KCNF1
1162,HIF3A
1163,ADAMTS7
1164,RAB11FIP1
1165,NET1
1166,SKAP1
1167,IFT172
1168,INPP5K
1169,KCNIP4
1170,FNDC5
1171,IGFBP2
1172,SBDS
1173,LANCL1
1174,TNFRSF17
1175,MEAF6
1176,CXCL16
1177,SNRPN
1178,FUT2
1179,CHIT1
1180,NONO
1181,PROCR
1182,RASSF7
1183,IFT57
1184,TNFSF12
1185,ZCCHC7
1186,GYPC
1187,TMEM51
1188,GARS
1189,EVA1A
1190,NDUFB6
1191,HIPK1
1192,PWP1
1193,CD70
1194,BTN3A1
1195,SWI5
1196,RAB33B
1197,CREB5
1198,SSH1
1199,RASEF
1200,CC2D1B
1201,SGSM3
1202,DYNLL2
1203,SEMA4F
1204,RASSF1
1205,MED22
1206,RPAP1
1207,ZC3HC1
1208,TRMT112
1209,FOXA3
1210,F2RL1
1211,ST6GALNAC2
1212,FGFR1
1213,COMMD4
1214,CNTFR
1215,CKAP2L
1216,DDX56
1217,UBAP2L
1218,SLC48A1
1219,IQGAP1
1220,FEM1C
