,TCGA,miRTarBase
1318,hsa-mir-769,hsa-miR-769-3p
1319,hsa-mir-770,hsa-miR-770-5p
1320,hsa-mir-7702,hsa-miR-7702
1321,hsa-mir-7703,hsa-miR-7703
1322,hsa-mir-7704,hsa-miR-7704
1323,hsa-mir-7705,hsa-miR-7705
1324,hsa-mir-7706,hsa-miR-7706
1325,hsa-mir-7843,hsa-miR-7843-3p
1326,hsa-mir-7844,hsa-miR-7844-5p
1327,hsa-mir-7845,hsa-miR-7845-5p
1328,hsa-mir-7846,hsa-miR-7846-3p
1329,hsa-mir-7847,hsa-miR-7847-3p
1330,hsa-mir-7848,hsa-miR-7848-3p
1331,hsa-mir-7849,hsa-miR-7849-3p
1332,hsa-mir-7850,hsa-miR-7850-5p
1333,hsa-mir-7851,hsa-miR-7851-3p
1334,hsa-mir-7852,hsa-miR-7852-3p
1335,hsa-mir-7853,hsa-miR-7853-5p
1336,hsa-mir-7854,hsa-miR-7854-3p
1337,hsa-mir-7855,hsa-miR-7855-5p
1338,hsa-mir-7856,hsa-miR-7856-5p
1339,hsa-mir-7974,hsa-miR-7974
1340,hsa-mir-7976,hsa-miR-7976
1341,hsa-mir-7977,hsa-miR-7977
1342,hsa-mir-7978,hsa-miR-7978
1343,hsa-mir-802,hsa-miR-802
1344,hsa-mir-8059,hsa-miR-8059
1345,hsa-mir-8066,hsa-miR-8066
1346,hsa-mir-8072,hsa-miR-8072
1347,hsa-mir-8073,hsa-miR-8073
1348,hsa-mir-8075,hsa-miR-8075
1349,hsa-mir-8077,hsa-miR-8077
1350,hsa-mir-8079,hsa-miR-8079
1351,hsa-mir-8083,hsa-miR-8083
1352,hsa-mir-8085,hsa-miR-8085
1353,hsa-mir-873,hsa-miR-873-3p
1354,hsa-mir-874,hsa-miR-874-5p
1355,hsa-mir-875,hsa-miR-875-5p
1356,hsa-mir-876,hsa-miR-876-3p
1357,hsa-mir-877,hsa-miR-877-3p
1358,hsa-mir-885,hsa-miR-885-5p
1359,hsa-mir-887,hsa-miR-887-5p
1360,hsa-mir-888,hsa-miR-888-5p
1361,hsa-mir-889,hsa-miR-889-3p
