,0
1270,ARF6
1271,LCK
1272,PROKR1
1273,COX16
1274,OCA2
1275,TMOD2
1276,DCLRE1C
1277,PHPT1
1278,TMBIM6
1279,AKIRIN2
1280,MRPS33
1281,TMUB2
1282,RFX5
1283,KISS1R
1284,TM4SF19
1285,WTAP
1286,PPFIA1
1287,RAC3
1288,CALML5
1289,CLDN19
1290,SEPT11
1291,ATP8B3
1292,SLC25A38
1293,SPIC
1294,CADPS2
1295,HAPLN2
1296,SHANK3
1297,NME3
1298,C1orf43
1299,PRRG4
1300,GNG4
1301,CALCR
1302,DNMBP
1303,C11orf24
1304,EVI5
1305,LDHAL6A
1306,B4GALT6
1307,KLF11
1308,STX4
1309,CEACAM5
1310,RRBP1
1311,RTF1
1312,INPP5B
1313,DRAXIN
1314,AKAP12
1315,ABHD1
1316,RNASEH2B
1317,GRIN3B
1318,KIRREL3
1319,RETSAT
1320,CHEK1
1321,FEM1C
1322,PSMF1
1323,CTTN
1324,GSTK1
1325,TSPAN17
1326,NAMPT
1327,TBXAS1
1328,HECTD3
1329,TIMP2
1330,L3MBTL2
1331,HOXB8
1332,AMN
1333,COQ10B
1334,POP1
1335,FCAR
1336,ASXL3
1337,IGF2BP2
1338,KRTAP11-1
1339,ERG
1340,B4GALT1
1341,GNB4
1342,DOCK4
1343,HIST1H4B
1344,C12orf49
1345,ARHGEF3
1346,SH3BP5
1347,MYF6
1348,SYMPK
1349,PLK4
1350,NEK1
1351,ASGR1
1352,ERP29
1353,TCF24
1354,ULK3
1355,GZMK
1356,ERLIN1
1357,EIF1AY
1358,CR2
1359,MRI1
1360,SLC39A9
1361,NME6
1362,MAP3K13
1363,RBBP7
1364,ANKRD30A
1365,KLHL2
1366,SRPK2
1367,MS4A4A
1368,PIAS1
1369,MRPL32
1370,KCNE4
1371,CEP55
1372,REG3A
1373,SLC12A9
1374,HERC2
1375,PTRH2
1376,ZKSCAN3
1377,FGFR1
1378,CCP110
1379,ZNF18
1380,HSPA8
1381,PARP14
1382,KDM1B
1383,RGS7
1384,LAYN
1385,ZNF526
1386,RAB11FIP1
1387,ALDH1A2
1388,BRMS1
1389,RCBTB1
1390,PLA2G7
1391,TPCN2
1392,TM4SF1
1393,NR2C2AP
1394,ACYP2
1395,COG6
1396,MARCH8
1397,C19orf18
1398,LAT2
1399,HP
1400,QARS
1401,DNAJC10
1402,RHOH
1403,CHD1L
1404,LAMC3
1405,ATP6V0E2
1406,CCNB2
1407,PCDH12
1408,SLCO3A1
1409,IGF2BP3
1410,SPRY4
1411,BMP6
1412,SPCS2
1413,LCLAT1
1414,LCE3A
1415,RAB11FIP2
1416,IFIT2
1417,TTYH1
1418,PIK3R5
1419,DUSP8
1420,ACTL6B
1421,TMEM134
1422,MANEAL
1423,LRPPRC
1424,SERPINE2
1425,POLD2
1426,TP53INP2
1427,ZNF550
1428,MRPS35
1429,ARHGAP29
1430,PRKAG2
1431,PCSK9
1432,TVP23A
1433,BOC
1434,CLIC4
1435,ATP2A3
1436,DYNC1LI2
1437,APOC3
1438,ATP1B2
1439,ARMCX3
1440,AMY1B
1441,IRS4
1442,UBXN1
1443,TNFRSF10D
1444,PCDHB8
1445,ELAC2
1446,ACTR8
1447,MEF2D
1448,ZMYND10
1449,RFWD3
1450,P2RY12
1451,POP4
1452,RAB10
1453,GCLC
1454,AK5
1455,MIA3
1456,BRD4
1457,PPP2R2D
1458,TXNDC12
1459,XRCC4
1460,TOX2
1461,P3H3
1462,CYSRT1
1463,RERE
1464,NRG1
1465,ADAMTS12
1466,CKAP5
1467,ZBTB7A
1468,NR4A3
1469,UROS
1470,BIRC5
1471,RRM1
1472,DYNLT1
1473,FGFR2
1474,TIMELESS
1475,GC
1476,KCTD17
1477,CACNA1E
1478,DNAH2
1479,UGGT1
1480,CNTF
1481,SACM1L
1482,ATP1B4
1483,SLC1A3
1484,STIM1
1485,CDC25A
1486,ZNF616
1487,ZNF804B
1488,GTF3C6
1489,RDH10
1490,CRB3
1491,TMEM59
1492,PUM1
1493,AS3MT
1494,TGFBR1
1495,PDE3B
1496,ZBTB47
1497,VWF
1498,NIPBL
1499,SERAC1
1500,TMEM123
1501,PCDH9
1502,SERTM1
1503,CDK14
1504,SLC12A1
1505,FKBP4
1506,HSP90B1
1507,FOXP1
1508,YOD1
1509,GALNT12
1510,COQ7
1511,HADHB
1512,P3H4
1513,LDHB
1514,HAAO
1515,HIST1H4L
1516,NECAP1
1517,ESF1
1518,SOD1
1519,MED18
1520,NPR1
1521,UBE2C
1522,GGT6
1523,MAPKAPK2
1524,EIF4ENIF1
1525,NSRP1
1526,TG
1527,MICALL1
1528,ZNF641
1529,TMEM164
1530,FGD2
1531,FLOT2
1532,ABCB8
1533,MAPRE2
1534,PSMD13
1535,DNAH12
1536,EML4
1537,WDR82
1538,CCDC107
1539,HRH3
1540,RBM39
1541,NUBPL
1542,PPP1CC
1543,RPL34
1544,FOCAD
1545,LAPTM4A
1546,UBE2V2
1547,STIL
1548,APRT
1549,WASF3
1550,MCM5
1551,IL15RA
1552,SPRTN
1553,CLDN1
1554,KRT86
1555,EVA1A
1556,BFSP2
1557,ZNF615
1558,WIPI1
1559,GRIP1
1560,MC1R
1561,ZNF589
1562,CBX6
1563,UBP1
1564,SIX5
1565,CDH16
1566,RBFA
1567,RALA
1568,SLC27A6
1569,CSN3
1570,ENPP3
1571,CYB5D2
1572,SRSF6
1573,SCN3A
1574,FOXJ3
1575,MPV17
1576,WDR35
1577,DET1
1578,NDUFS7
1579,FAM189B
1580,URI1
1581,KIF21B
1582,CNTNAP1
1583,XRN2
1584,EXOC3
1585,SYCP1
1586,AMIGO1
1587,PHC2
1588,DDX5
1589,SHISA5
1590,GRB2
1591,DDX46
1592,PRMT5
1593,SLC30A5
1594,NEK11
1595,TJP3
1596,GP2
1597,ITGA3
1598,WNK2
1599,CLCN3
1600,ZDHHC3
1601,PRSS23
1602,HSPA9
1603,CD22
1604,SOCS1
1605,SPICE1
1606,HIST1H4J
1607,HTR3E
1608,ZNF316
1609,ATF7IP2
1610,MEF2A
1611,SEPT3
1612,SESN3
1613,EHMT2
1614,KYNU
1615,SEC24C
1616,REG1A
1617,ZNF398
1618,LYPD4
1619,NPL
1620,GPCPD1
1621,CRIM1
1622,TXNDC16
1623,TMEM14C
1624,PSMD4
1625,PEX11G
1626,SLC35B2
1627,GALM
1628,SPACA3
1629,RPRD1A
1630,SEC14L4
1631,KTN1
1632,FMOD
1633,KNSTRN
1634,ANAPC5
1635,SART1
1636,ENOX2
1637,NAPG
1638,ITPA
1639,NMI
1640,TMEM219
1641,CDO1
1642,LIMS2
1643,TDRD3
1644,DOLPP1
1645,RFC3
1646,ARL4A
1647,RSPRY1
1648,RPP21
1649,NAV2
1650,TFEB
1651,GPX8
1652,VMAC
1653,NKAIN4
1654,TAOK2
1655,TCP10L
1656,GLI3
1657,FHOD1
1658,ISLR
1659,PTGS2
1660,KCTD6
1661,SRSF10
1662,PTDSS2
1663,ARHGEF7
1664,AMELX
1665,MAP2K5
1666,ZNF493
1667,FKBP1B
1668,FGF18
1669,FBXO2
1670,ARIH2
1671,FXYD7
1672,KAT7
1673,CYP4F12
1674,GLYR1
1675,OCRL
1676,LPIN1
1677,CDC42EP1
1678,OLIG1
1679,PITPNM3
1680,ACVR2B
1681,SLC9A9
1682,HPRT1
1683,ICE2
1684,AGPS
1685,FBXO11
1686,PRICKLE2
1687,EBF1
1688,PIGB
1689,KDM1A
1690,BNIP1
1691,RANBP17
1692,EFNA4
1693,RXRA
1694,TM2D2
1695,RHOXF2
1696,USP2
1697,IRF9
1698,ATP13A2
1699,RAB3IP
1700,FCRL2
1701,AKR1B1
1702,PPP4R2
1703,MARK4
1704,TMED7
