,0
1179,ATP11B
1180,SPON1
1181,EML4
1182,PITX1
1183,DCLK1
1184,RAD21
1185,RHBDF1
1186,EFNB1
1187,RNF135
1188,CKMT1B
1189,ALS2CL
1190,CTBS
1191,INHBE
1192,KCTD15
1193,HSPB11
1194,CD83
1195,ADH4
1196,SUCLA2
1197,RPS6KA2
1198,TWF2
1199,ARFGAP2
1200,CYP7B1
1201,PLEKHB1
1202,TIMM23
1203,IFT52
1204,NRBP2
1205,SMARCA5
1206,TRIM56
1207,APLP1
1208,AGPS
1209,DNALI1
1210,LAMTOR1
1211,RRN3
1212,PGLS
1213,UGGT1
1214,GTF2E1
1215,POLR2H
1216,SSX2IP
1217,LMF2
1218,CMTM4
1219,RBM5
1220,USP33
1221,TSPAN5
1222,HSPA5
1223,SCGB3A1
1224,DYNLT1
1225,CDC25B
1226,RER1
1227,MPZ
1228,CNPY4
1229,ATF6
1230,TMEM41A
1231,SLC25A3
1232,MLPH
1233,RBM24
1234,VBP1
1235,MYO10
1236,GNAO1
1237,CIRBP
1238,CEP170B
1239,USP2
1240,CCNH
1241,TEAD4
1242,C8G
1243,EIF3D
1244,TRRAP
1245,ZNF684
1246,SNCA
1247,HIGD1A
1248,FOXRED1
1249,TMCO6
1250,SKP1
1251,CEP70
1252,NUMB
1253,STARD3NL
1254,MAN2A1
1255,CXCL9
1256,WASF3
1257,DPY19L1
1258,HLA-F
1259,SERPINB1
1260,TIMM17A
1261,NUP43
1262,PQLC2
1263,CARS
1264,TUBGCP3
1265,PLK2
1266,PIAS3
1267,TPPP3
1268,UBA5
1269,LONP1
1270,PAPOLA
1271,AK8
1272,MYO5B
1273,KRT81
1274,HHATL
1275,SLC27A3
1276,ACKR3
1277,TEF
1278,IGLL5
1279,DDC
1280,PLS3
1281,PXYLP1
1282,ODF2
1283,PXDN
1284,B4GALT1
1285,NFKBIE
1286,SENP6
1287,ASCC3
1288,MACROD1
1289,PANK1
1290,TIGD2
1291,ZNF275
1292,USP30
1293,ADAM10
1294,FOS
1295,APMAP
1296,CTNNAL1
1297,SETMAR
1298,CLDN6
1299,OXLD1
1300,GPRC5A
1301,TRIM71
1302,ADIPOQ
1303,MAFF
1304,MRPL1
1305,SCAMP3
1306,MCU
1307,FBXW4
1308,PEX6
1309,ULBP2
1310,IMPDH1
1311,SLC39A8
1312,GNAI1
1313,VWA5A
1314,MTTP
1315,ARL2
1316,DPY19L4
1317,SENP2
1318,ADAP2
1319,CYFIP2
1320,DSC3
1321,STIM1
1322,TSPY10
1323,ARHGEF11
1324,SLC1A3
1325,HAAO
1326,IFI16
1327,CARM1
1328,PPIF
1329,NCBP1
1330,DNAH1
1331,BRD1
1332,ATG3
1333,ARHGEF25
1334,MRPL13
1335,AUH
1336,PI3
1337,GTF3C2
1338,URI1
1339,WIZ
1340,GIMAP2
1341,YTHDC1
1342,SRP19
1343,OS9
1344,MAP2K1
1345,ELP3
1346,FCGR3B
1347,HDAC2
1348,AAMDC
1349,CLSTN1
1350,PCDH12
1351,PLSCR4
1352,ERBB3
1353,USP19
1354,BLVRB
1355,UNC119B
1356,TSPYL2
1357,TGFB2
1358,PAM16
1359,VDAC3
1360,ZNF503
1361,IRF8
1362,RAD23B
1363,PRKDC
1364,NDUFA7
1365,KIF3B
1366,KDM3A
1367,PEMT
1368,SLC22A12
1369,SOX2
1370,CAB39
1371,HIST1H3D
1372,CSNK1E
1373,SUSD3
1374,PI4KA
1375,PICALM
1376,EIF4H
1377,SCRN1
1378,GAL3ST1
1379,XPO7
1380,SCAND1
1381,KIAA1324L
1382,SNRPE
1383,TM4SF20
1384,CHRNA1
1385,RAB40C
1386,ST6GALNAC6
1387,FABP4
1388,C2CD2
1389,SUMO2
1390,DDX3Y
1391,BCLAF1
1392,ELN
1393,YIPF4
1394,LEFTY2
1395,TGS1
1396,NAGK
1397,SERPINF1
1398,HCFC1
1399,CUX2
1400,OTUB1
1401,CRISP2
